gstID,startTime_GST,allKpIndex,link,linkedEvents,submissionTime,versionId,CME_ActivityID
2022-01-19T00:00:00-GST-001,2022-01-19 00:00:00+00:00,"[{'observedTime': '2022-01-19T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/18884/-1,"[{'activityID': '2022-01-15T16:12:00-CME-001'}, {'activityID': '2022-01-16T20:48:00-CME-001'}, {'activityID': '2022-01-18T23:04:00-IPS-001'}]",2022-01-19T03:26Z,1,2022-01-15T16:12:00-CME-001
2022-02-03T06:00:00-GST-001,2022-02-03 06:00:00+00:00,"[{'observedTime': '2022-02-03T09:00Z', 'kpIndex': 5.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/21084/-1,"[{'activityID': '2022-01-29T23:36:00-CME-001'}, {'activityID': '2022-02-01T21:37:00-IPS-001'}]",2022-08-02T19:05Z,1,2022-01-29T23:36:00-CME-001
2022-03-13T12:00:00-GST-001,2022-03-13 12:00:00+00:00,"[{'observedTime': '2022-03-13T15:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2022-03-13T21:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2022-03-14T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2022-03-14T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/19427/-1,"[{'activityID': '2022-03-10T19:23:00-CME-001'}, {'activityID': '2022-03-13T10:11:00-IPS-001'}]",2022-03-13T15:25Z,1,2022-03-10T19:23:00-CME-001
2022-04-10T03:00:00-GST-001,2022-04-10 03:00:00+00:00,"[{'observedTime': '2022-04-10T06:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/19718/-1,"[{'activityID': '2022-04-07T05:36:00-CME-001'}, {'activityID': '2022-04-09T12:46:00-IPS-001'}, {'activityID': '2022-04-09T20:44:00-HSS-001'}]",2022-04-10T12:27Z,2,2022-04-07T05:36:00-CME-001
2022-04-14T15:00:00-GST-001,2022-04-14 15:00:00+00:00,"[{'observedTime': '2022-04-14T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2022-04-14T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/19773/-1,"[{'activityID': '2022-04-11T06:00:00-CME-001'}, {'activityID': '2022-04-14T03:37:00-IPS-001'}]",2022-04-14T18:13Z,1,2022-04-11T06:00:00-CME-001
2022-08-07T21:00:00-GST-001,2022-08-07 21:00:00+00:00,"[{'observedTime': '2022-08-08T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/21134/-1,"[{'activityID': '2022-08-07T00:45:00-HSS-001'}, {'activityID': '2022-08-07T00:45:00-IPS-001'}]",2022-08-08T00:33Z,1,2022-08-07T00:45:00-HSS-001
2022-08-17T18:00:00-GST-001,2022-08-17 18:00:00+00:00,"[{'observedTime': '2022-08-17T21:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2022-08-18T00:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/21254/-1,"[{'activityID': '2022-08-13T18:48:00-CME-001'}, {'activityID': '2022-08-14T12:48:00-CME-001'}, {'activityID': '2022-08-17T02:14:00-IPS-001'}, {'activityID': '2022-08-17T19:45:00-HSS-001'}]",2022-08-17T21:32Z,1,2022-08-13T18:48:00-CME-001
2022-09-04T03:00:00-GST-001,2022-09-04 03:00:00+00:00,"[{'observedTime': '2022-09-04T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2022-09-04T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2022-09-04T12:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2022-09-04T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2022-09-04T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/21526/-1,[{'activityID': '2022-09-03T08:20:00-HSS-001'}],2022-09-04T06:33Z,1,2022-09-03T08:20:00-HSS-001
2022-09-27T00:00:00-GST-001,2022-09-27 00:00:00+00:00,"[{'observedTime': '2022-09-27T03:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/21757/-1,[{'activityID': '2022-09-27T01:13:00-HSS-001'}],2022-09-27T13:15Z,2,2022-09-27T01:13:00-HSS-001
2023-02-27T03:00:00-GST-001,2023-02-27 03:00:00+00:00,"[{'observedTime': '2023-02-27T06:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2023-02-27T09:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2023-02-27T12:00Z', 'kpIndex': 7.0, 'source': 'NOAA'}, {'observedTime': '2023-02-27T15:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2023-02-27T18:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}, {'observedTime': '2023-02-27T21:00Z', 'kpIndex': 6.0, 'source': 'NOAA'}]",https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/GST/23985/-1,"[{'activityID': '2023-02-24T20:36:00-CME-001'}, {'activityID': '2023-02-26T18:38:00-HSS-001'}, {'activityID': '2023-02-26T18:43:00-IPS-001'}, {'activityID': '2023-02-26T21:26:00-MPC-001'}, {'activityID': '2023-02-27T10:15:00-IPS-001'}]",2023-02-27T06:34Z,1,2023-02-24T20:36:00-CME-001
